pid,creator,age,filenames,filepaths,flexibility_manual,flexibility_categories
375,adults,,"375__5945_9.jpg, 375__5946_11.jpg, 375__5952_56.jpg","../data/adults/stimuli_G/375__5945_9.jpg, ../data/adults/stimuli_I/375__5946_11.jpg, ../data/adults/stimuli_R/375__5952_56.jpg",1,2
392,adults,,"392__6012_9.jpg, 392__6013_11.jpg, 392__6019_56.jpg","../data/adults/stimuli_G/392__6012_9.jpg, ../data/adults/stimuli_I/392__6013_11.jpg, ../data/adults/stimuli_R/392__6019_56.jpg",1,1
415,adults,,"415__7553_9.jpg, 415__7554_11.jpg, 415__7560_56.jpg","../data/adults/stimuli_G/415__7553_9.jpg, ../data/adults/stimuli_I/415__7554_11.jpg, ../data/adults/stimuli_R/415__7560_56.jpg",1,1
427,adults,,"427__6116_9.jpg, 427__6117_11.jpg, 427__6123_56.jpg","../data/adults/stimuli_G/427__6116_9.jpg, ../data/adults/stimuli_I/427__6117_11.jpg, ../data/adults/stimuli_R/427__6123_56.jpg",2,2
434,adults,,"434__7586_9.jpg, 434__7587_11.jpg, 434__7593_56.jpg","../data/adults/stimuli_G/434__7586_9.jpg, ../data/adults/stimuli_I/434__7587_11.jpg, ../data/adults/stimuli_R/434__7593_56.jpg",1,2
445,adults,,"445__7631_9.jpg, 445__7632_11.jpg, 445__7637_56.jpg","../data/adults/stimuli_G/445__7631_9.jpg, ../data/adults/stimuli_I/445__7632_11.jpg, ../data/adults/stimuli_R/445__7637_56.jpg",1,1
453,adults,,"453__6216_9.jpg, 453__7714_11.jpg, 453__7720_56.jpg","../data/adults/stimuli_G/453__6216_9.jpg, ../data/adults/stimuli_I/453__7714_11.jpg, ../data/adults/stimuli_R/453__7720_56.jpg",2,2
454,adults,,"454__7725_9.jpg, 454__7726_11.jpg, 454__6235_56.jpg","../data/adults/stimuli_G/454__7725_9.jpg, ../data/adults/stimuli_I/454__7726_11.jpg, ../data/adults/stimuli_R/454__6235_56.jpg",2,2
456,adults,,"456__7749_9.jpg, 456__7750_11.jpg, 456__7756_56.jpg","../data/adults/stimuli_G/456__7749_9.jpg, ../data/adults/stimuli_I/456__7750_11.jpg, ../data/adults/stimuli_R/456__7756_56.jpg",2,2
458,adults,,"458__7773_9.jpg, 458__7774_11.jpg, 458__7780_56.jpg","../data/adults/stimuli_G/458__7773_9.jpg, ../data/adults/stimuli_I/458__7774_11.jpg, ../data/adults/stimuli_R/458__7780_56.jpg",2,2
464,adults,,"464__7832_9.jpg, 464__7833_11.jpg, 464__7839_56.jpg","../data/adults/stimuli_G/464__7832_9.jpg, ../data/adults/stimuli_I/464__7833_11.jpg, ../data/adults/stimuli_R/464__7839_56.jpg",2,2
466,adults,,"466__7856_9.jpg, 466__7857_11.jpg, 466__7862_56.jpg","../data/adults/stimuli_G/466__7856_9.jpg, ../data/adults/stimuli_I/466__7857_11.jpg, ../data/adults/stimuli_R/466__7862_56.jpg",1,2
481,adults,,"481__7947_9.jpg, 481__7948_11.jpg, 481__7954_56.jpg","../data/adults/stimuli_G/481__7947_9.jpg, ../data/adults/stimuli_I/481__7948_11.jpg, ../data/adults/stimuli_R/481__7954_56.jpg",1,1
482,adults,,"482__7959_9.jpg, 482__7960_11.jpg, 482__7966_56.jpg","../data/adults/stimuli_G/482__7959_9.jpg, ../data/adults/stimuli_I/482__7960_11.jpg, ../data/adults/stimuli_R/482__7966_56.jpg",1,0
484,adults,,"484__7983_9.jpg, 484__7984_11.jpg, 484__7990_56.jpg","../data/adults/stimuli_G/484__7983_9.jpg, ../data/adults/stimuli_I/484__7984_11.jpg, ../data/adults/stimuli_R/484__7990_56.jpg",1,2
485,adults,,"485__7995_9.jpg, 485__7996_11.jpg, 485__8001_56.jpg","../data/adults/stimuli_G/485__7995_9.jpg, ../data/adults/stimuli_I/485__7996_11.jpg, ../data/adults/stimuli_R/485__8001_56.jpg",1,2
486,adults,,"486__8006_9.jpg, 486__8007_11.jpg, 486__8013_56.jpg","../data/adults/stimuli_G/486__8006_9.jpg, ../data/adults/stimuli_I/486__8007_11.jpg, ../data/adults/stimuli_R/486__8013_56.jpg",1,1
487,adults,,"487__8018_9.jpg, 487__8019_11.jpg, 487__8025_56.jpg","../data/adults/stimuli_G/487__8018_9.jpg, ../data/adults/stimuli_I/487__8019_11.jpg, ../data/adults/stimuli_R/487__8025_56.jpg",1,1
489,adults,,"489__8039_9.jpg, 489__8040_11.jpg, 489__8046_56.jpg","../data/adults/stimuli_G/489__8039_9.jpg, ../data/adults/stimuli_I/489__8040_11.jpg, ../data/adults/stimuli_R/489__8046_56.jpg",2,2
492,adults,,"492__8051_9.jpg, 492__8052_11.jpg, 492__8058_56.jpg","../data/adults/stimuli_G/492__8051_9.jpg, ../data/adults/stimuli_I/492__8052_11.jpg, ../data/adults/stimuli_R/492__8058_56.jpg",1,1
496,adults,,"496__8093_9.jpg, 496__8094_11.jpg, 496__8100_56.jpg","../data/adults/stimuli_G/496__8093_9.jpg, ../data/adults/stimuli_I/496__8094_11.jpg, ../data/adults/stimuli_R/496__8100_56.jpg",2,2
498,adults,,"498__8105_9.jpg, 498__8106_11.jpg, 498__8112_56.jpg","../data/adults/stimuli_G/498__8105_9.jpg, ../data/adults/stimuli_I/498__8106_11.jpg, ../data/adults/stimuli_R/498__8112_56.jpg",1,1
502,adults,,"502__8129_9.jpg, 502__8130_11.jpg, 502__8136_56.jpg","../data/adults/stimuli_G/502__8129_9.jpg, ../data/adults/stimuli_I/502__8130_11.jpg, ../data/adults/stimuli_R/502__8136_56.jpg",1,2
511,adults,,"511__8150_9.jpg, 511__8151_11.jpg, 511__8156_56.jpg","../data/adults/stimuli_G/511__8150_9.jpg, ../data/adults/stimuli_I/511__8151_11.jpg, ../data/adults/stimuli_R/511__8156_56.jpg",1,0
513,adults,,"513__8161_9.jpg, 513__8162_11.jpg, 513__8168_56.jpg","../data/adults/stimuli_G/513__8161_9.jpg, ../data/adults/stimuli_I/513__8162_11.jpg, ../data/adults/stimuli_R/513__8168_56.jpg",2,2
517,adults,,"517__8197_9.jpg, 517__8198_11.jpg, 517__8204_56.jpg","../data/adults/stimuli_G/517__8197_9.jpg, ../data/adults/stimuli_I/517__8198_11.jpg, ../data/adults/stimuli_R/517__8204_56.jpg",1,1
520,adults,,"520__8220_9.jpg, 520__8221_11.jpg, 520__8227_56.jpg","../data/adults/stimuli_G/520__8220_9.jpg, ../data/adults/stimuli_I/520__8221_11.jpg, ../data/adults/stimuli_R/520__8227_56.jpg",1,1
521,adults,,"521__8232_9.jpg, 521__8233_11.jpg, 521__8239_56.jpg","../data/adults/stimuli_G/521__8232_9.jpg, ../data/adults/stimuli_I/521__8233_11.jpg, ../data/adults/stimuli_R/521__8239_56.jpg",1,1
522,adults,,"522__8244_9.jpg, 522__8245_11.jpg, 522__8251_56.jpg","../data/adults/stimuli_G/522__8244_9.jpg, ../data/adults/stimuli_I/522__8245_11.jpg, ../data/adults/stimuli_R/522__8251_56.jpg",1,1
524,adults,,"524__8256_9.jpg, 524__8257_11.jpg, 524__8263_56.jpg","../data/adults/stimuli_G/524__8256_9.jpg, ../data/adults/stimuli_I/524__8257_11.jpg, ../data/adults/stimuli_R/524__8263_56.jpg",1,1
529,adults,,"529__8268_9.jpg, 529__8269_11.jpg, 529__8275_56.jpg","../data/adults/stimuli_G/529__8268_9.jpg, ../data/adults/stimuli_I/529__8269_11.jpg, ../data/adults/stimuli_R/529__8275_56.jpg",2,2
530,adults,,"530__8280_9.jpg, 530__8281_11.jpg, 530__8287_56.jpg","../data/adults/stimuli_G/530__8280_9.jpg, ../data/adults/stimuli_I/530__8281_11.jpg, ../data/adults/stimuli_R/530__8287_56.jpg",1,1
532,adults,,"532__8304_9.jpg, 532__8305_11.jpg, 532__8311_56.jpg","../data/adults/stimuli_G/532__8304_9.jpg, ../data/adults/stimuli_I/532__8305_11.jpg, ../data/adults/stimuli_R/532__8311_56.jpg",2,2
533,adults,,"533__8316_9.jpg, 533__8317_11.jpg, 533__8322_56.jpg","../data/adults/stimuli_G/533__8316_9.jpg, ../data/adults/stimuli_I/533__8317_11.jpg, ../data/adults/stimuli_R/533__8322_56.jpg",0,1
534,adults,,"534__8327_9.jpg, 534__8328_11.jpg, 534__8334_56.jpg","../data/adults/stimuli_G/534__8327_9.jpg, ../data/adults/stimuli_I/534__8328_11.jpg, ../data/adults/stimuli_R/534__8334_56.jpg",1,2
538,adults,,"538__8349_9.jpg, 538__8350_11.jpg, 538__8356_56.jpg","../data/adults/stimuli_G/538__8349_9.jpg, ../data/adults/stimuli_I/538__8350_11.jpg, ../data/adults/stimuli_R/538__8356_56.jpg",1,1
541,adults,,"541__8371_9.jpg, 541__8372_11.jpg, 541__8378_56.jpg","../data/adults/stimuli_G/541__8371_9.jpg, ../data/adults/stimuli_I/541__8372_11.jpg, ../data/adults/stimuli_R/541__8378_56.jpg",2,2
542,adults,,"542__8383_9.jpg, 542__8384_11.jpg, 542__8390_56.jpg","../data/adults/stimuli_G/542__8383_9.jpg, ../data/adults/stimuli_I/542__8384_11.jpg, ../data/adults/stimuli_R/542__8390_56.jpg",2,2
543,adults,,"543__8395_9.jpg, 543__8396_11.jpg, 543__8402_56.jpg","../data/adults/stimuli_G/543__8395_9.jpg, ../data/adults/stimuli_I/543__8396_11.jpg, ../data/adults/stimuli_R/543__8402_56.jpg",1,2
547,adults,,"547__8431_9.jpg, 547__8432_11.jpg, 547__8438_56.jpg","../data/adults/stimuli_G/547__8431_9.jpg, ../data/adults/stimuli_I/547__8432_11.jpg, ../data/adults/stimuli_R/547__8438_56.jpg",1,2
549,adults,,"549__8443_9.jpg, 549__8444_11.jpg, 549__8448_56.jpg","../data/adults/stimuli_G/549__8443_9.jpg, ../data/adults/stimuli_I/549__8444_11.jpg, ../data/adults/stimuli_R/549__8448_56.jpg",1,0
551,adults,,"551__8453_9.jpg, 551__8454_11.jpg, 551__8460_56.jpg","../data/adults/stimuli_G/551__8453_9.jpg, ../data/adults/stimuli_I/551__8454_11.jpg, ../data/adults/stimuli_R/551__8460_56.jpg",1,1
554,adults,,"554__8477_9.jpg, 554__8478_11.jpg, 554__8483_56.jpg","../data/adults/stimuli_G/554__8477_9.jpg, ../data/adults/stimuli_I/554__8478_11.jpg, ../data/adults/stimuli_R/554__8483_56.jpg",1,1
556,adults,,"556__8488_9.jpg, 556__8489_11.jpg, 556__8495_56.jpg","../data/adults/stimuli_G/556__8488_9.jpg, ../data/adults/stimuli_I/556__8489_11.jpg, ../data/adults/stimuli_R/556__8495_56.jpg",1,0
558,adults,,"558__8500_9.jpg, 558__8501_11.jpg, 558__8507_56.jpg","../data/adults/stimuli_G/558__8500_9.jpg, ../data/adults/stimuli_I/558__8501_11.jpg, ../data/adults/stimuli_R/558__8507_56.jpg",0,0
562,adults,,"562__8519_9.jpg, 562__8520_11.jpg, 562__8524_56.jpg","../data/adults/stimuli_G/562__8519_9.jpg, ../data/adults/stimuli_I/562__8520_11.jpg, ../data/adults/stimuli_R/562__8524_56.jpg",1,0
563,adults,,"563__8529_9.jpg, 563__8530_11.jpg, 563__8536_56.jpg","../data/adults/stimuli_G/563__8529_9.jpg, ../data/adults/stimuli_I/563__8530_11.jpg, ../data/adults/stimuli_R/563__8536_56.jpg",1,2
564,adults,,"564__8541_9.jpg, 564__8542_11.jpg, 564__8548_56.jpg","../data/adults/stimuli_G/564__8541_9.jpg, ../data/adults/stimuli_I/564__8542_11.jpg, ../data/adults/stimuli_R/564__8548_56.jpg",2,2
567,adults,,"567__8577_9.jpg, 567__8578_11.jpg, 567__8582_56.jpg","../data/adults/stimuli_G/567__8577_9.jpg, ../data/adults/stimuli_I/567__8578_11.jpg, ../data/adults/stimuli_R/567__8582_56.jpg",1,2
568,adults,,"568__8587_9.jpg, 568__8588_11.jpg, 568__8593_56.jpg","../data/adults/stimuli_G/568__8587_9.jpg, ../data/adults/stimuli_I/568__8588_11.jpg, ../data/adults/stimuli_R/568__8593_56.jpg",1,2
