image1,image2,image3,flexibility_manual,categories_image1,categories_image2,categories_image3,flexibility_category
../../data/AI/prompt_3/stimuli_G/Dalle43.png,../../data/AI/prompt_3/stimuli_I/Dalle20.png,../../data/AI/prompt_3/stimuli_R/Dalle21.png,0,face(s),face(s) arm(s),abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle42.png,../../data/AI/prompt_3/stimuli_I/Dalle10.png,../../data/AI/prompt_3/stimuli_R/Dalle35.png,1,abstract doodle/hard to interpret,abstract doodle/hard to interpret,person(s),1
../../data/AI/prompt_3/stimuli_G/Dalle33.png,../../data/AI/prompt_3/stimuli_I/Dalle02.png,../../data/AI/prompt_3/stimuli_R/Dalle26.png,0,abstract doodle/hard to interpret pattern,abstract doodle/hard to interpret,person(s),1
../../data/AI/prompt_3/stimuli_G/Dalle36.png,../../data/AI/prompt_3/stimuli_I/Dalle01.png,../../data/AI/prompt_3/stimuli_R/Dalle18.png,1,abstract doodle/hard to interpret,person(s),bug,2
../../data/AI/prompt_3/stimuli_G/Dalle19.png,../../data/AI/prompt_3/stimuli_I/Dalle18.png,../../data/AI/prompt_3/stimuli_R/Dalle28.png,1,abstract doodle/hard to interpret,person(s),person(s),1
../../data/AI/prompt_3/stimuli_G/Dalle39.png,../../data/AI/prompt_3/stimuli_I/Dalle15.png,../../data/AI/prompt_3/stimuli_R/Dalle50.png,1,person(s),person(s),creature(s),1
../../data/AI/prompt_3/stimuli_G/Dalle49.png,../../data/AI/prompt_3/stimuli_I/Dalle30.png,../../data/AI/prompt_3/stimuli_R/Dalle47.png,2,horse person(s),face(s),abstract doodle/hard to interpret,2
../../data/AI/prompt_3/stimuli_G/Dalle48.png,../../data/AI/prompt_3/stimuli_I/Dalle23.png,../../data/AI/prompt_3/stimuli_R/Dalle19.png,1,animal,abstract doodle/hard to interpret,person(s),2
../../data/AI/prompt_3/stimuli_G/Dalle08.png,../../data/AI/prompt_3/stimuli_I/Dalle14.png,../../data/AI/prompt_3/stimuli_R/Dalle38.png,0,person(s) arch,person(s),person(s),0
../../data/AI/prompt_3/stimuli_G/Dalle44.png,../../data/AI/prompt_3/stimuli_I/Dalle27.png,../../data/AI/prompt_3/stimuli_R/Dalle46.png,1,abstract doodle/hard to interpret,face(s),person(s),2
../../data/AI/prompt_3/stimuli_G/Dalle40.png,../../data/AI/prompt_3/stimuli_I/Dalle49.png,../../data/AI/prompt_3/stimuli_R/Dalle11.png,1,person(s),person(s),creature(s),1
../../data/AI/prompt_3/stimuli_G/Dalle46.png,../../data/AI/prompt_3/stimuli_I/Dalle26.png,../../data/AI/prompt_3/stimuli_R/Dalle15.png,1,abstract doodle/hard to interpret,person(s),creature(s),2
../../data/AI/prompt_3/stimuli_G/Dalle21.png,../../data/AI/prompt_3/stimuli_I/Dalle34.png,../../data/AI/prompt_3/stimuli_R/Dalle24.png,1,person(s) painting,face(s),abstract doodle/hard to interpret,2
../../data/AI/prompt_3/stimuli_G/Dalle27.png,../../data/AI/prompt_3/stimuli_I/Dalle03.png,../../data/AI/prompt_3/stimuli_R/Dalle20.png,0,person(s),abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle06.png,../../data/AI/prompt_3/stimuli_I/Dalle04.png,../../data/AI/prompt_3/stimuli_R/Dalle03.png,1,bird cage,abstract doodle/hard to interpret,creature(s),2
../../data/AI/prompt_3/stimuli_G/Dalle50.png,../../data/AI/prompt_3/stimuli_I/Dalle48.png,../../data/AI/prompt_3/stimuli_R/Dalle44.png,1,person(s),abstract doodle/hard to interpret,face(s),2
../../data/AI/prompt_3/stimuli_G/Dalle34.png,../../data/AI/prompt_3/stimuli_I/Dalle22.png,../../data/AI/prompt_3/stimuli_R/Dalle08.png,2,person(s),runner,face(s) hand,2
../../data/AI/prompt_3/stimuli_G/Dalle32.png,../../data/AI/prompt_3/stimuli_I/Dalle36.png,../../data/AI/prompt_3/stimuli_R/Dalle09.png,0,abstract doodle/hard to interpret person(s),face(s),abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle25.png,../../data/AI/prompt_3/stimuli_I/Dalle06.png,../../data/AI/prompt_3/stimuli_R/Dalle43.png,0,abstract doodle/hard to interpret,abstract doodle/hard to interpret,abstract doodle/hard to interpret,0
../../data/AI/prompt_3/stimuli_G/Dalle37.png,../../data/AI/prompt_3/stimuli_I/Dalle07.png,../../data/AI/prompt_3/stimuli_R/Dalle49.png,1,cat(s),abstract doodle/hard to interpret,creature(s),2
../../data/AI/prompt_3/stimuli_G/Dalle09.png,../../data/AI/prompt_3/stimuli_I/Dalle40.png,../../data/AI/prompt_3/stimuli_R/Dalle36.png,1,bird,person(s),abstract doodle/hard to interpret,2
../../data/AI/prompt_3/stimuli_G/Dalle45.png,../../data/AI/prompt_3/stimuli_I/Dalle13.png,../../data/AI/prompt_3/stimuli_R/Dalle05.png,0,person(s),abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle41.png,../../data/AI/prompt_3/stimuli_I/Dalle39.png,../../data/AI/prompt_3/stimuli_R/Dalle12.png,0,abstract doodle/hard to interpret person(s),abstract doodle/hard to interpret,person(s),1
../../data/AI/prompt_3/stimuli_G/Dalle12.png,../../data/AI/prompt_3/stimuli_I/Dalle45.png,../../data/AI/prompt_3/stimuli_R/Dalle01.png,0,abstract doodle/hard to interpret,abstract doodle/hard to interpret,abstract doodle/hard to interpret,0
../../data/AI/prompt_3/stimuli_G/Dalle22.png,../../data/AI/prompt_3/stimuli_I/Dalle31.png,../../data/AI/prompt_3/stimuli_R/Dalle34.png,0,abstract doodle/hard to interpret,creature(s),abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle01.png,../../data/AI/prompt_3/stimuli_I/Dalle43.png,../../data/AI/prompt_3/stimuli_R/Dalle17.png,0,person(s),person(s),abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle14.png,../../data/AI/prompt_3/stimuli_I/Dalle12.png,../../data/AI/prompt_3/stimuli_R/Dalle10.png,0,person(s),abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle03.png,../../data/AI/prompt_3/stimuli_I/Dalle41.png,../../data/AI/prompt_3/stimuli_R/Dalle33.png,0,person(s),abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle05.png,../../data/AI/prompt_3/stimuli_I/Dalle37.png,../../data/AI/prompt_3/stimuli_R/Dalle14.png,1,person(s),ghost,person(s),1
../../data/AI/prompt_3/stimuli_G/Dalle31.png,../../data/AI/prompt_3/stimuli_I/Dalle50.png,../../data/AI/prompt_3/stimuli_R/Dalle30.png,0,abstract doodle/hard to interpret person(s),face(s),face(s),1
../../data/AI/prompt_3/stimuli_G/Dalle07.png,../../data/AI/prompt_3/stimuli_I/Dalle19.png,../../data/AI/prompt_3/stimuli_R/Dalle07.png,1,person(s),person(s),abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle04.png,../../data/AI/prompt_3/stimuli_I/Dalle33.png,../../data/AI/prompt_3/stimuli_R/Dalle40.png,0,person(s),abstract doodle/hard to interpret,person(s),1
../../data/AI/prompt_3/stimuli_G/Dalle17.png,../../data/AI/prompt_3/stimuli_I/Dalle25.png,../../data/AI/prompt_3/stimuli_R/Dalle02.png,1,person(s),person(s) rabbit,abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle15.png,../../data/AI/prompt_3/stimuli_I/Dalle24.png,../../data/AI/prompt_3/stimuli_R/Dalle37.png,2,abstract doodle/hard to interpret,face(s),animal,2
../../data/AI/prompt_3/stimuli_G/Dalle29.png,../../data/AI/prompt_3/stimuli_I/Dalle16.png,../../data/AI/prompt_3/stimuli_R/Dalle45.png,0,person(s) silhouette,abstract doodle/hard to interpret,person(s),1
../../data/AI/prompt_3/stimuli_G/Dalle26.png,../../data/AI/prompt_3/stimuli_I/Dalle17.png,../../data/AI/prompt_3/stimuli_R/Dalle25.png,0,person(s),person(s),person(s),0
../../data/AI/prompt_3/stimuli_G/Dalle23.png,../../data/AI/prompt_3/stimuli_I/Dalle46.png,../../data/AI/prompt_3/stimuli_R/Dalle42.png,0,abstract doodle/hard to interpret flowers,face(s),abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle18.png,../../data/AI/prompt_3/stimuli_I/Dalle05.png,../../data/AI/prompt_3/stimuli_R/Dalle16.png,2,abstract doodle/hard to interpret,person(s),creature(s),2
../../data/AI/prompt_3/stimuli_G/Dalle47.png,../../data/AI/prompt_3/stimuli_I/Dalle09.png,../../data/AI/prompt_3/stimuli_R/Dalle41.png,0,person(s) bed,abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
